,Software_Package,Alias,Identifier,cite_count
0,Astroblend,AstroBlend,0,3
1,Astroblend,astroblend.com,0,1
2,Astropy,10.1051/0004-6361/201322068,1,1
3,Astropy,AstroPy,0,306
4,Astropy,Astropy Collaboration,0,223
5,Astropy,Astropy Collaboration 2013,0,160
6,Astropy,Astropy Collaboration 2018,0,4
7,Astropy,Astropy Collaboration et al. (2013),0,167
8,Astropy,Astropy Collaboration et al. (2018),0,5
9,Astropy,Astropy Collaboration et al. 2013,0,167
10,Astropy,Astropy Collaboration et al. 2018,0,5
11,Astropy,"Astropy Collaboration, 2013",0,160
12,Astropy,"Astropy Collaboration, 2018",0,4
13,Astropy,arXiv:1307.6212,1,3
14,Astropy,arXiv:1801.02634,1,2
15,Astropy,ascl:1304.002,1,2
16,Astropy,astropy.cosmology,0,4
17,Astropy,astropy.org,0,24
18,Astropy,astropy.units,0,6
19,Astropy,astropy/astroplan,0,1
20,Astropy,astropy/astroquery,0,1
21,Astropy,astropy/astroscrappy,0,2
22,Astropy,astropy/photutils,0,1
23,Astropy,github.com/astropy,0,6
24,Astropy,github.com/astropy/astroquery,0,1
25,Astropy,github.com/astropy/astroscrappy,0,2
26,RADMC-3D,10.1051/0004-6361:20031768,1,1
27,RADMC-3D,10.1051/0004-6361:20040017,1,1
28,RADMC-3D,RADMC,0,210
29,RADMC-3D,RADMC-2D,0,3
30,RADMC-3D,RADMC-3D,0,105
31,RADMC-3D,RADMC3D,0,105
32,RADMC-3D,ascl:1108.016,1,1
33,RADMC-3D,ascl:1202.015,1,2
34,RADMC-3D,dullemond/software/radmc-3d,0,24
35,RADMC-3D,ita.uni-heidelberg.de/dullemond/software/radmc-3d,0,14
36,RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d,0,14
37,RADMC-3D,radmc,0,91
38,RADMC-3D,radmc-3d,0,79
39,RADMC-3D,radmc2d,0,1
40,RADMC-3D,radmc3d,0,50
41,SAOImage DS9,DS9,0,252
42,SAOImage DS9,SAO Image,0,9
43,SAOImage DS9,SAO Image DS9,0,1
44,SAOImage DS9,SAO image ds9,0,2
45,SAOImage DS9,SAOIMAGE,0,1
46,SAOImage DS9,SAOImage,0,151
47,SAOImage DS9,SAOImage DS9,0,84
48,SAOImage DS9,SAOtng,0,10
49,SAOImage DS9,"This work was performed in large part under a grant from NASA\'s Applied Information System Research Program (NAGW-3913), with support from the AXAF Science Center (NAS8-39073).",0,1
50,SAOImage DS9,ascl:0003.002,1,1
51,SAOImage DS9,ds9,0,199
52,SAOImage DS9,ds9 region,0,13
53,SAOImage DS9,ds9 regions,0,14
54,SAOImage DS9,ds9.si.edu,0,22
55,SAOImage DS9,hea-www.harvard.edu/RD/ds9,0,6
56,SAOImage DS9,pyds9,0,1
57,SAOImage DS9,saoimage ds9,0,24
58,Spec2d,DEEP2 DEIMOS Data Pipeline,0,1
59,Spec2d,DEEP2 DEIMOS Data Reduction Pipeline,0,5
60,Spec2d,DEEP2 DEIMOS Pipeline,0,7
61,Spec2d,DEIMOS pipeline,0,10
62,Spec2d,Spec2d,0,98
63,Spec2d,The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,0,2
64,Spec2d,arXiv:1203.3192,1,12
65,Spec2d,astro.berkeley.edu/~cooper/deep/spec2d,0,8
66,Spec2d,astron.berkeley.edu/~cooper/deep/spec2d,0,2
67,Spec2d,deep.berkeley.edu/spec2d,0,1
68,Spec2d,deep.ps.uci.edu/spec2d,0,1
69,Spec2d,idlspec2d,0,55
70,Spec2d,spectro.princeton.edu/idlspec2d,0,5
71,Stringray,HENDRICS,0,2
72,Stringray,Stingray,0,183
73,TARDIS,TARDIS,0,30
74,TARDIS,Tardis,0,33
75,TARDIS,tardis-sn,0,1
76,WCSTools,LibWCS,0,1
77,WCSTools,WCS Tools,0,6
78,WCSTools,WCSLIB,0,13
79,WCSTools,WCSTools,0,140
80,WCSTools,gethead,0,12
81,WCSTools,harvard.edu/software/wcstools,0,8
82,WCSTools,imwcs,0,26
83,WCSTools,sethead,0,3
84,WCSTools,sky2xy,0,5
85,WCSTools,tdc-www.harvard.edu/software/wcstools,0,7
86,WCSTools,tdc-www.harvard.edu/wcstools,0,7
87,WCSTools,wcslib,0,11
88,WCSTools,xy2sky,0,9
