,Software_Package,Pub_Year,year_count
0,Astroblend,2016,2
1,Astroblend,2017,3
2,Astropy,1997,1
3,Astropy,2000,2
4,Astropy,2007,1
5,Astropy,2013,9
6,Astropy,2014,29
7,Astropy,2015,57
8,Astropy,2016,113
9,Astropy,2017,158
10,Astropy,2018,67
11,RADMC-3D,2004,5
12,RADMC-3D,2005,5
13,RADMC-3D,2006,6
14,RADMC-3D,2007,13
15,RADMC-3D,2008,9
16,RADMC-3D,2009,16
17,RADMC-3D,2010,19
18,RADMC-3D,2011,20
19,RADMC-3D,2012,29
20,RADMC-3D,2013,32
21,RADMC-3D,2014,38
22,RADMC-3D,2015,48
23,RADMC-3D,2016,71
24,RADMC-3D,2017,66
25,RADMC-3D,2018,27
26,SAOImage DS9,1997,25
27,SAOImage DS9,1998,16
28,SAOImage DS9,1999,10
29,SAOImage DS9,2000,18
30,SAOImage DS9,2001,18
31,SAOImage DS9,2002,20
32,SAOImage DS9,2003,22
33,SAOImage DS9,2004,27
34,SAOImage DS9,2005,32
35,SAOImage DS9,2006,38
36,SAOImage DS9,2007,51
37,SAOImage DS9,2008,53
38,SAOImage DS9,2009,57
39,SAOImage DS9,2010,58
40,SAOImage DS9,2011,66
41,SAOImage DS9,2012,99
42,SAOImage DS9,2013,61
43,SAOImage DS9,2014,93
44,SAOImage DS9,2015,82
45,SAOImage DS9,2016,94
46,SAOImage DS9,2017,105
47,SAOImage DS9,2018,35
48,Spec2d,2002,1
49,Spec2d,2003,3
50,Spec2d,2004,7
51,Spec2d,2005,8
52,Spec2d,2006,17
53,Spec2d,2007,24
54,Spec2d,2008,12
55,Spec2d,2009,22
56,Spec2d,2010,15
57,Spec2d,2011,28
58,Spec2d,2012,37
59,Spec2d,2013,31
60,Spec2d,2014,25
61,Spec2d,2015,34
62,Spec2d,2016,35
63,Spec2d,2017,22
64,Spec2d,2018,7
65,Stringray,1997,1
66,Stringray,1998,5
67,Stringray,1999,10
68,Stringray,2000,5
69,Stringray,2001,3
70,Stringray,2002,3
71,Stringray,2003,3
72,Stringray,2004,6
73,Stringray,2005,3
74,Stringray,2006,6
75,Stringray,2007,2
76,Stringray,2008,6
77,Stringray,2009,5
78,Stringray,2010,9
79,Stringray,2011,11
80,Stringray,2012,11
81,Stringray,2013,32
82,Stringray,2014,39
83,Stringray,2015,34
84,Stringray,2016,45
85,Stringray,2017,57
86,Stringray,2018,23
87,TARDIS,1997,1
88,TARDIS,1998,1
89,TARDIS,1999,1
90,TARDIS,2001,1
91,TARDIS,2002,2
92,TARDIS,2003,1
93,TARDIS,2006,2
94,TARDIS,2008,1
95,TARDIS,2009,1
96,TARDIS,2010,2
97,TARDIS,2011,1
98,TARDIS,2012,4
99,TARDIS,2013,7
100,TARDIS,2014,17
101,TARDIS,2015,16
102,TARDIS,2016,25
103,TARDIS,2017,28
104,TARDIS,2018,5
105,WCSTools,1997,4
106,WCSTools,1998,1
107,WCSTools,1999,5
108,WCSTools,2000,2
109,WCSTools,2001,9
110,WCSTools,2002,13
111,WCSTools,2003,10
112,WCSTools,2004,14
113,WCSTools,2005,11
114,WCSTools,2006,13
115,WCSTools,2007,21
116,WCSTools,2008,17
117,WCSTools,2009,21
118,WCSTools,2010,32
119,WCSTools,2011,29
120,WCSTools,2012,29
121,WCSTools,2013,23
122,WCSTools,2014,16
123,WCSTools,2015,20
124,WCSTools,2016,20
125,WCSTools,2017,20
126,WCSTools,2018,4
